reward
370
2015
2015
2075
1900
1825
1900
1695
1900
1745
1100
1860
1730
1895
1915
1355
1895
630
1835
1870
1815
1065
1830
1865
1235
1765
1735
935
1985
1105
1180
1670
1240
1885
1740
1850
1010
1750
1775
1860
1905
1710
1730
1800
